Date,0
1997-03-26,0.025
1997-06-26,0.025
1997-09-26,0.025
1997-12-29,0.025
1998-03-27,0.03
1998-06-26,0.03
1998-09-28,0.03
1998-12-29,0.03
1999-03-29,0.0325
1999-06-28,0.0325
1999-09-28,0.0325
1999-12-29,0.0325
2000-03-29,0.0375
2000-06-28,0.0375
2000-09-27,0.0375
2000-12-27,0.0375
2001-03-28,0.0425
2001-06-27,0.0425
2001-09-26,0.0425
2001-12-26,0.0425
2002-03-26,0.0475
2002-06-26,0.0475
2002-09-25,0.0475
2002-12-27,0.0475
2003-03-27,0.05
2003-06-26,0.05
2003-09-26,0.05
2003-12-29,0.05
2004-03-29,0.0525
2004-06-28,0.0525
2004-09-28,0.065
2004-12-29,0.065
2005-03-29,0.125
2005-06-28,0.125
2005-09-28,0.125
2005-12-28,0.25
2006-03-29,0.25
2006-06-28,0.5
2006-09-27,0.5
2006-12-27,0.5
2007-03-28,0.5
2007-06-27,0.5
2007-09-26,0.5
2007-12-27,0.31
2008-03-26,0.2
2008-06-26,0.2
2008-09-26,0.2
2008-12-29,0.35
2009-03-27,0.35
2009-06-26,0.35
2009-09-28,0.35
2009-12-29,0.36
2010-03-29,0.36
2010-06-28,0.36
2010-09-28,0.36
2010-12-29,0.3625
2011-03-29,0.3625
2011-06-28,0.3625
2011-09-28,0.3625
2011-12-28,0.365
2012-03-28,0.365
2012-06-27,0.365
2012-09-26,0.365
2012-12-27,0.3675
2013-03-26,0.3675
2013-06-26,0.3675
2013-09-25,0.3675
2013-12-27,0.37
2014-03-27,0.37
2014-06-26,0.37
2014-09-26,0.37
2014-12-29,0.3725
2015-03-27,0.3725
2015-06-26,0.3725
2015-09-28,0.3725
2015-12-29,0.375
2016-03-29,0.375
2016-06-28,0.375
2016-09-28,0.375
2016-12-28,0.377
2017-03-29,0.3775
2017-06-28,0.3775
2017-09-28,0.3775
2017-12-28,0.38
2018-03-28,0.38
2018-06-28,0.38
2018-09-27,0.38
2018-12-28,0.4
2019-03-28,0.4
2019-06-27,0.4
2019-09-26,0.4
2019-12-30,0.4025
2020-03-30,0.4025
2020-06-29,0.4025
2020-09-29,0.4025
2020-12-30,0.405
