Date,0
1985-08-12,0.006875
1985-11-05,0.007813
1985-11-05,0.007813
1985-11-05,0.007813
1986-02-11,0.007813
1986-05-15,0.007813
1986-08-15,0.007813
1986-11-10,0.008438
1987-02-12,0.008438
1987-05-15,0.008438
1987-08-17,0.008438
1987-11-09,0.009375
1988-02-16,0.009375
1988-05-16,0.009375
1988-08-16,0.009375
1988-11-07,0.010625
1989-02-15,0.010625
1989-05-16,0.010625
1989-08-16,0.010625
1989-11-07,0.0125
1990-02-15,0.0125
1990-05-16,0.0125
1990-08-15,0.0125
1990-11-06,0.014375
1991-02-15,0.014375
1991-05-16,0.014375
1991-08-15,0.014375
1991-11-05,0.01625
1992-02-14,0.01625
1992-05-18,0.01625
1992-08-13,0.01625
1992-11-09,0.01875
1993-02-16,0.01875
1993-05-17,0.01875
1993-08-17,0.01875
1993-11-08,0.02125
1994-02-15,0.02125
1994-05-16,0.02125
1994-08-16,0.02125
1994-11-07,0.024375
1995-02-15,0.024375
1995-05-16,0.024375
1995-08-18,0.0245
1995-11-09,0.0275
1996-02-20,0.0275
1996-05-20,0.0275
1996-08-19,0.0275
1996-11-07,0.03
1997-02-19,0.03
1997-05-20,0.03
1997-08-19,0.03
1997-11-13,0.031
1998-02-18,0.031
1998-05-20,0.031
1998-08-19,0.031
1998-11-12,0.0325
1999-02-18,0.032
1999-05-19,0.032
1999-08-18,0.033
1999-11-10,0.034
2000-02-16,0.034
2000-05-17,0.034
2000-08-16,0.034
2000-11-09,0.035
2001-02-14,0.035
2001-05-16,0.035
2001-08-15,0.035
2001-11-14,0.036
2002-02-13,0.036
2002-05-17,0.036
2002-08-16,0.036
2002-11-14,0.038
2003-02-13,0.038
2003-05-19,0.038
2003-08-18,0.043
2003-11-13,0.043
2004-02-17,0.043
2004-05-19,0.043
2004-08-18,0.053
2004-11-10,0.053
2005-02-16,0.053
2005-05-18,0.053
2005-08-17,0.065
2005-11-09,0.065
2006-02-15,0.065
2006-05-17,0.065
2006-08-16,0.078
2006-11-09,0.078
2007-02-14,0.078
2007-05-16,0.078
2007-08-16,0.095
2007-11-07,0.095
2008-02-14,0.095
2008-05-19,0.095
2008-08-18,0.113
2008-11-13,0.113
2009-02-13,0.113
2009-05-19,0.113
2009-08-19,0.138
2009-11-12,0.138
2010-02-16,0.138
2010-05-18,0.138
2010-08-17,0.175
2010-11-10,0.175
2011-02-16,0.175
2011-05-18,0.175
2011-08-17,0.225
2011-11-09,0.225
2012-02-15,0.225
2012-05-17,0.225
2012-08-15,0.275
2012-11-07,0.275
2013-02-13,0.275
2013-05-17,0.275
2013-08-16,0.315
2013-11-14,0.315
2014-02-13,0.315
2014-05-19,0.315
2014-08-19,0.338
2014-11-13,0.338
2015-02-13,0.338
2015-05-19,0.338
2015-08-17,0.36
2015-11-12,0.36
2016-02-16,0.36
2016-05-16,0.36
2016-08-17,0.375
2016-11-15,0.375
2017-02-13,0.375
2017-05-16,0.375
2017-08-16,0.4
2017-11-10,0.4
2018-02-14,0.4
2018-05-17,0.4
2018-08-17,0.44
2018-11-08,0.44
2019-02-14,0.44
2019-05-17,0.44
2019-08-19,0.458
2019-11-15,0.458
2020-02-18,0.458
2020-05-19,0.458
2020-08-18,0.468
2020-11-18,0.468
