Date,0
1983-06-14,0.006939
1983-09-12,0.006939
1983-12-12,0.006939
1983-12-12,0.006939
1984-03-13,0.006939
1984-06-12,0.007683
1984-09-11,0.007683
1984-12-11,0.007683
1985-03-12,0.007683
1985-06-11,0.008426
1985-09-12,0.008426
1985-12-10,0.008426
1986-03-17,0.008426
1986-06-13,0.009418
1986-09-15,0.009418
1986-12-11,0.009418
1987-01-27,0.009418
1987-06-15,0.010905
1987-09-14,0.010905
1987-12-14,0.010905
1988-03-15,0.010905
1988-06-14,0.012887
1988-09-13,0.012887
1988-12-12,0.012887
1989-03-14,0.012887
1989-06-13,0.01487
1989-09-12,0.01487
1989-12-12,0.01487
1990-03-13,0.01487
1990-06-14,0.017348
1990-09-11,0.017348
1990-12-11,0.017348
1991-03-12,0.017348
1991-06-11,0.019827
1991-09-10,0.019827
1991-12-10,0.019827
1992-03-10,0.019827
1992-06-02,0.022801
1992-09-08,0.022801
1992-12-07,0.022801
1993-03-08,0.022801
1993-06-08,0.025775
1993-09-07,0.025775
1993-12-06,0.025775
1994-03-08,0.025775
1994-06-07,0.02974
1994-09-12,0.02974
1994-12-12,0.02974
1995-03-13,0.02974
1995-06-14,0.034697
1995-09-13,0.034697
1995-12-13,0.039653
1996-03-13,0.039653
1996-06-12,0.039653
1996-09-11,0.039653
1996-12-11,0.045601
1997-03-12,0.045601
1997-06-11,0.045601
1997-09-10,0.045601
1997-12-10,0.052342
1998-03-11,0.052342
1998-06-10,0.052342
1998-09-09,0.052342
1998-12-09,0.060273
1999-03-10,0.05948
1999-06-09,0.05948
1999-09-08,0.060273
1999-12-08,0.06979
2000-03-08,0.06979
2000-06-07,0.06979
2000-09-13,0.06979
2000-12-07,0.081686
2001-03-07,0.081686
2001-06-06,0.081686
2001-09-17,0.081686
2001-12-12,0.091202
2002-03-13,0.091202
2002-06-12,0.091202
2002-09-11,0.091202
2002-12-11,0.095168
2003-03-12,0.095168
2003-06-11,0.095168
2003-09-10,0.095168
2003-12-10,0.111029
2004-03-11,0.111029
2004-06-09,0.111029
2004-09-08,0.111029
2004-12-08,0.122925
2005-03-10,0.122925
2005-06-08,0.122925
2005-09-07,0.122925
2005-12-07,0.146717
2006-03-08,0.146717
2006-06-07,0.146717
2006-09-13,0.146717
2006-12-06,0.182405
2007-03-07,0.182405
2007-06-13,0.201932
2007-09-12,0.201932
2007-12-12,0.254609
2008-03-12,0.254609
2008-06-11,0.254609
2008-09-10,0.254609
2008-12-10,0.289728
2009-03-11,0.289728
2009-06-10,0.289728
2009-09-09,0.289728
2009-12-09,0.298507
2010-03-10,0.298507
2010-06-09,0.298507
2010-09-08,0.298507
2010-12-08,0.316067
2011-03-09,0.316067
2011-06-08,0.316067
2011-09-07,0.316067
2011-12-07,0.346795
2012-03-07,0.346795
2012-06-06,0.346795
2012-09-12,0.346795
2012-12-12,0.381914
2013-03-06,0.381914
2013-06-12,0.381914
2013-09-11,0.381914
2013-12-11,0.421422
2014-03-12,0.421422
2014-06-11,0.421422
2014-09-10,0.421422
2014-12-10,0.49
2015-03-11,0.49
2015-06-10,0.49
2015-09-09,0.49
2015-12-09,0.53
2016-03-09,0.53
2016-06-08,0.53
2016-09-07,0.53
2016-12-07,0.57
2017-03-08,0.57
2017-06-07,0.57
2017-09-07,0.57
2017-12-07,0.63
2018-03-08,0.63
2018-06-07,0.69
2018-09-13,0.69
2018-12-13,0.79
2019-03-07,0.79
2019-06-13,0.79
2019-09-12,0.79
2019-12-12,0.91
2020-03-12,0.91
2020-06-11,0.91
2020-09-10,0.91
2020-12-10,0.93
